review_text,product_category,price,rating
"Excellent product, highly recommend!",Sports Equipment,53.02,1
"Could be better, not very durable.",Electronics,374.71,3
"Quality is good, but overpriced.",Home Appliances,71.46,2
Fantastic! Will buy again.,Office Supplies,211.5,4
"Very disappointed, it broke after one use.",Toys,233.47,1
"Very disappointed, it broke after one use.",Toys,496.62,3
"Amazing features, very useful.",Office Supplies,382.39,4
Fantastic! Will buy again.,Home Appliances,497.17,4
Fantastic! Will buy again.,Toys,64.9,5
"Good for the price, meets expectations.",Toys,102.44,5
"Works as expected, decent value.",Home Appliances,210.71,2
"Works as expected, decent value.",Home Appliances,279.49,1
"Good for the price, meets expectations.",Home Appliances,149.52,5
"Very disappointed, it broke after one use.",Electronics,328.18,1
"Terrible quality, not worth the price.",Home Appliances,189.75,1
"Quality is good, but overpriced.",Toys,281.91,3
"Works as expected, decent value.",Office Supplies,220.52,4
Fantastic! Will buy again.,Home Appliances,169.43,1
"Quality is good, but overpriced.",Office Supplies,35.33,5
"Quality is good, but overpriced.",Toys,452.79,3
"Good for the price, meets expectations.",Toys,174.69,5
"Very disappointed, it broke after one use.",Home Appliances,69.85,1
"Very disappointed, it broke after one use.",Office Supplies,140.63,1
"Quality is good, but overpriced.",Home Appliances,364.02,2
"Terrible quality, not worth the price.",Electronics,148.11,4
"Very disappointed, it broke after one use.",Sports Equipment,111.03,2
"Quality is good, but overpriced.",Toys,336.15,4
"Terrible quality, not worth the price.",Home Appliances,483.1,3
"Satisfied with the purchase, value for money.",Home Appliances,92.8,2
"Good for the price, meets expectations.",Office Supplies,493.28,3
"Quality is good, but overpriced.",Office Supplies,228.58,1
"Works as expected, decent value.",Electronics,320.89,2
"Works as expected, decent value.",Electronics,193.69,1
"Very disappointed, it broke after one use.",Home Appliances,327.56,5
"Excellent product, highly recommend!",Office Supplies,142.13,1
"Good for the price, meets expectations.",Home Appliances,100.93,3
"Quality is good, but overpriced.",Office Supplies,404.83,1
"Could be better, not very durable.",Sports Equipment,35.51,2
"Amazing features, very useful.",Sports Equipment,67.16,5
"Quality is good, but overpriced.",Toys,224.02,2
"Could be better, not very durable.",Electronics,413.77,1
"Satisfied with the purchase, value for money.",Toys,470.9,2
"Terrible quality, not worth the price.",Sports Equipment,156.77,2
"Terrible quality, not worth the price.",Toys,213.72,1
"Terrible quality, not worth the price.",Sports Equipment,73.8,2
"Could be better, not very durable.",Toys,462.26,5
"Could be better, not very durable.",Electronics,87.36,4
"Works as expected, decent value.",Sports Equipment,473.03,1
"Satisfied with the purchase, value for money.",Toys,119.89,2
"Quality is good, but overpriced.",Electronics,446.73,4
"Very disappointed, it broke after one use.",Office Supplies,480.61,3
"Works as expected, decent value.",Electronics,145.51,2
"Good for the price, meets expectations.",Toys,237.33,3
"Good for the price, meets expectations.",Office Supplies,96.83,5
"Could be better, not very durable.",Sports Equipment,355.02,4
"Amazing features, very useful.",Home Appliances,235.23,4
"Works as expected, decent value.",Toys,324.22,5
"Good for the price, meets expectations.",Office Supplies,479.25,5
"Amazing features, very useful.",Home Appliances,237.45,5
"Amazing features, very useful.",Electronics,169.59,4
"Could be better, not very durable.",Electronics,499.37,1
Fantastic! Will buy again.,Electronics,139.0,1
"Very disappointed, it broke after one use.",Toys,222.34,1
"Very disappointed, it broke after one use.",Electronics,479.55,1
"Works as expected, decent value.",Electronics,36.34,5
"Very disappointed, it broke after one use.",Electronics,241.52,4
"Very disappointed, it broke after one use.",Electronics,486.26,5
"Works as expected, decent value.",Home Appliances,337.13,1
"Excellent product, highly recommend!",Electronics,469.01,1
"Satisfied with the purchase, value for money.",Sports Equipment,325.77,4
"Excellent product, highly recommend!",Toys,85.92,5
"Satisfied with the purchase, value for money.",Electronics,303.01,4
"Satisfied with the purchase, value for money.",Home Appliances,428.53,3
"Works as expected, decent value.",Office Supplies,493.85,4
"Amazing features, very useful.",Sports Equipment,295.94,2
"Could be better, not very durable.",Office Supplies,389.68,2
"Could be better, not very durable.",Home Appliances,479.23,4
"Terrible quality, not worth the price.",Electronics,315.89,2
"Excellent product, highly recommend!",Toys,477.3,2
"Amazing features, very useful.",Sports Equipment,388.91,1
"Excellent product, highly recommend!",Toys,252.93,1
"Very disappointed, it broke after one use.",Office Supplies,395.18,2
"Excellent product, highly recommend!",Electronics,243.27,5
"Quality is good, but overpriced.",Office Supplies,431.36,2
"Could be better, not very durable.",Toys,98.96,3
"Terrible quality, not worth the price.",Electronics,141.62,2
"Quality is good, but overpriced.",Office Supplies,198.6,3
"Quality is good, but overpriced.",Office Supplies,35.85,3
"Good for the price, meets expectations.",Electronics,136.14,3
"Excellent product, highly recommend!",Toys,89.43,1
"Very disappointed, it broke after one use.",Electronics,378.8,3
"Could be better, not very durable.",Sports Equipment,28.98,1
"Terrible quality, not worth the price.",Sports Equipment,448.75,4
"Excellent product, highly recommend!",Sports Equipment,277.78,1
"Works as expected, decent value.",Electronics,477.81,4
"Very disappointed, it broke after one use.",Sports Equipment,416.4,5
"Amazing features, very useful.",Sports Equipment,164.63,1
"Amazing features, very useful.",Home Appliances,450.34,4
Fantastic! Will buy again.,Electronics,442.14,4
"Excellent product, highly recommend!",Electronics,148.52,5
"Amazing features, very useful.",Toys,170.57,4
"Could be better, not very durable.",Sports Equipment,327.86,1
"Amazing features, very useful.",Sports Equipment,213.5,5
Fantastic! Will buy again.,Electronics,246.96,3
"Excellent product, highly recommend!",Office Supplies,173.33,5
"Could be better, not very durable.",Toys,432.92,2
"Quality is good, but overpriced.",Toys,133.81,3
"Could be better, not very durable.",Toys,269.26,3
"Excellent product, highly recommend!",Sports Equipment,19.31,4
"Very disappointed, it broke after one use.",Home Appliances,373.6,1
"Satisfied with the purchase, value for money.",Electronics,307.76,5
"Satisfied with the purchase, value for money.",Sports Equipment,418.71,2
"Works as expected, decent value.",Toys,61.84,5
"Could be better, not very durable.",Office Supplies,260.95,1
"Excellent product, highly recommend!",Electronics,341.77,4
"Terrible quality, not worth the price.",Toys,74.71,2
"Satisfied with the purchase, value for money.",Home Appliances,45.29,1
"Satisfied with the purchase, value for money.",Electronics,325.49,5
"Terrible quality, not worth the price.",Home Appliances,92.86,3
"Very disappointed, it broke after one use.",Home Appliances,213.95,4
"Could be better, not very durable.",Office Supplies,193.85,2
"Terrible quality, not worth the price.",Sports Equipment,361.61,4
"Could be better, not very durable.",Toys,437.16,4
Fantastic! Will buy again.,Electronics,45.07,2
"Very disappointed, it broke after one use.",Electronics,111.58,1
"Good for the price, meets expectations.",Toys,45.45,1
"Very disappointed, it broke after one use.",Office Supplies,329.67,2
Fantastic! Will buy again.,Toys,146.22,1
"Could be better, not very durable.",Office Supplies,205.94,5
"Satisfied with the purchase, value for money.",Electronics,129.74,5
Fantastic! Will buy again.,Electronics,170.19,1
"Works as expected, decent value.",Sports Equipment,198.45,1
"Amazing features, very useful.",Home Appliances,452.67,2
"Could be better, not very durable.",Sports Equipment,78.44,1
"Terrible quality, not worth the price.",Electronics,443.82,5
"Amazing features, very useful.",Office Supplies,190.33,2
"Excellent product, highly recommend!",Electronics,414.24,3
"Works as expected, decent value.",Electronics,76.66,4
Fantastic! Will buy again.,Home Appliances,127.22,3
"Excellent product, highly recommend!",Sports Equipment,324.76,5
"Quality is good, but overpriced.",Home Appliances,482.14,1
"Very disappointed, it broke after one use.",Sports Equipment,441.53,4
"Amazing features, very useful.",Toys,63.04,2
Fantastic! Will buy again.,Office Supplies,482.49,4
"Works as expected, decent value.",Electronics,162.23,2
"Good for the price, meets expectations.",Office Supplies,258.71,1
"Works as expected, decent value.",Sports Equipment,468.56,5
"Satisfied with the purchase, value for money.",Office Supplies,91.66,5
"Quality is good, but overpriced.",Office Supplies,416.96,2
"Quality is good, but overpriced.",Electronics,484.15,4
"Could be better, not very durable.",Toys,171.38,4
"Terrible quality, not worth the price.",Toys,170.51,1
"Terrible quality, not worth the price.",Sports Equipment,467.96,5
"Terrible quality, not worth the price.",Toys,348.53,4
Fantastic! Will buy again.,Electronics,98.64,5
"Very disappointed, it broke after one use.",Home Appliances,313.53,1
"Good for the price, meets expectations.",Toys,76.92,4
"Good for the price, meets expectations.",Sports Equipment,387.24,4
"Works as expected, decent value.",Toys,284.8,2
"Satisfied with the purchase, value for money.",Home Appliances,391.89,2
"Excellent product, highly recommend!",Toys,133.45,5
"Could be better, not very durable.",Electronics,249.22,2
"Works as expected, decent value.",Toys,136.47,5
"Amazing features, very useful.",Office Supplies,201.88,4
"Satisfied with the purchase, value for money.",Toys,54.33,3
"Very disappointed, it broke after one use.",Sports Equipment,203.49,5
"Good for the price, meets expectations.",Sports Equipment,344.33,4
Fantastic! Will buy again.,Toys,201.47,1
"Excellent product, highly recommend!",Home Appliances,63.88,4
"Terrible quality, not worth the price.",Toys,371.24,2
"Amazing features, very useful.",Toys,325.54,5
"Excellent product, highly recommend!",Electronics,257.4,4
"Good for the price, meets expectations.",Office Supplies,126.17,4
"Amazing features, very useful.",Electronics,184.04,1
"Works as expected, decent value.",Home Appliances,277.5,5
"Could be better, not very durable.",Sports Equipment,498.85,3
"Terrible quality, not worth the price.",Office Supplies,488.75,2
"Amazing features, very useful.",Home Appliances,452.04,5
Fantastic! Will buy again.,Home Appliances,380.03,1
"Works as expected, decent value.",Electronics,63.46,1
Fantastic! Will buy again.,Electronics,411.12,3
"Quality is good, but overpriced.",Sports Equipment,464.71,1
"Terrible quality, not worth the price.",Sports Equipment,14.61,3
"Very disappointed, it broke after one use.",Sports Equipment,198.6,1
"Terrible quality, not worth the price.",Sports Equipment,162.31,2
Fantastic! Will buy again.,Home Appliances,105.76,5
"Terrible quality, not worth the price.",Toys,137.27,2
"Amazing features, very useful.",Electronics,183.61,4
"Excellent product, highly recommend!",Electronics,425.09,2
"Could be better, not very durable.",Toys,47.48,5
"Could be better, not very durable.",Sports Equipment,73.35,5
"Amazing features, very useful.",Toys,195.68,4
"Amazing features, very useful.",Office Supplies,258.49,5
"Satisfied with the purchase, value for money.",Home Appliances,189.83,1
"Terrible quality, not worth the price.",Electronics,403.59,3
"Good for the price, meets expectations.",Office Supplies,186.7,2
"Satisfied with the purchase, value for money.",Sports Equipment,343.34,5
"Terrible quality, not worth the price.",Sports Equipment,25.95,1
"Could be better, not very durable.",Electronics,81.64,3
"Excellent product, highly recommend!",Office Supplies,143.51,1
"Works as expected, decent value.",Electronics,305.37,5
"Works as expected, decent value.",Office Supplies,421.87,1
"Quality is good, but overpriced.",Home Appliances,474.1,5
"Terrible quality, not worth the price.",Office Supplies,389.55,4
"Terrible quality, not worth the price.",Toys,478.33,5
"Good for the price, meets expectations.",Office Supplies,481.33,2
"Excellent product, highly recommend!",Toys,220.21,4
"Excellent product, highly recommend!",Home Appliances,347.99,2
"Terrible quality, not worth the price.",Sports Equipment,33.7,2
"Could be better, not very durable.",Sports Equipment,378.55,2
"Could be better, not very durable.",Sports Equipment,36.43,3
"Satisfied with the purchase, value for money.",Toys,174.39,2
"Very disappointed, it broke after one use.",Electronics,411.45,5
"Excellent product, highly recommend!",Sports Equipment,26.81,1
Fantastic! Will buy again.,Toys,388.07,2
"Excellent product, highly recommend!",Electronics,176.4,5
"Excellent product, highly recommend!",Office Supplies,351.54,5
"Works as expected, decent value.",Toys,126.54,1
"Works as expected, decent value.",Toys,283.76,1
"Quality is good, but overpriced.",Toys,197.87,3
"Good for the price, meets expectations.",Toys,190.07,4
"Amazing features, very useful.",Home Appliances,306.72,2
"Amazing features, very useful.",Sports Equipment,46.61,1
"Quality is good, but overpriced.",Toys,287.92,4
"Good for the price, meets expectations.",Sports Equipment,378.6,2
"Could be better, not very durable.",Home Appliances,406.48,1
Fantastic! Will buy again.,Electronics,88.44,3
"Terrible quality, not worth the price.",Electronics,369.27,5
"Excellent product, highly recommend!",Electronics,457.97,2
"Quality is good, but overpriced.",Sports Equipment,253.54,3
"Could be better, not very durable.",Electronics,451.22,2
"Works as expected, decent value.",Toys,394.02,5
"Quality is good, but overpriced.",Sports Equipment,421.46,3
Fantastic! Will buy again.,Toys,91.09,4
"Could be better, not very durable.",Sports Equipment,165.91,5
"Terrible quality, not worth the price.",Home Appliances,476.01,2
"Could be better, not very durable.",Sports Equipment,235.66,5
Fantastic! Will buy again.,Office Supplies,143.43,5
"Satisfied with the purchase, value for money.",Electronics,54.48,5
"Excellent product, highly recommend!",Toys,388.46,4
"Excellent product, highly recommend!",Home Appliances,285.8,1
Fantastic! Will buy again.,Office Supplies,331.65,1
"Satisfied with the purchase, value for money.",Sports Equipment,165.08,1
"Works as expected, decent value.",Toys,266.7,2
"Good for the price, meets expectations.",Sports Equipment,278.51,4
"Good for the price, meets expectations.",Electronics,360.11,5
"Very disappointed, it broke after one use.",Electronics,278.16,4
"Excellent product, highly recommend!",Home Appliances,181.58,5
"Excellent product, highly recommend!",Toys,44.54,4
"Terrible quality, not worth the price.",Electronics,466.86,3
"Terrible quality, not worth the price.",Office Supplies,175.09,5
"Good for the price, meets expectations.",Toys,20.42,4
"Excellent product, highly recommend!",Sports Equipment,275.15,2
"Excellent product, highly recommend!",Home Appliances,342.57,5
"Satisfied with the purchase, value for money.",Office Supplies,404.17,5
"Terrible quality, not worth the price.",Home Appliances,485.69,1
"Very disappointed, it broke after one use.",Sports Equipment,210.64,5
"Amazing features, very useful.",Electronics,157.32,2
"Excellent product, highly recommend!",Electronics,329.04,3
"Could be better, not very durable.",Office Supplies,10.38,3
"Terrible quality, not worth the price.",Home Appliances,66.94,2
"Terrible quality, not worth the price.",Home Appliances,489.97,4
"Works as expected, decent value.",Sports Equipment,265.65,1
"Very disappointed, it broke after one use.",Sports Equipment,221.39,3
"Works as expected, decent value.",Sports Equipment,281.96,2
"Amazing features, very useful.",Home Appliances,363.56,4
"Quality is good, but overpriced.",Electronics,279.94,4
"Satisfied with the purchase, value for money.",Home Appliances,374.85,5
"Satisfied with the purchase, value for money.",Home Appliances,192.69,5
"Excellent product, highly recommend!",Sports Equipment,254.23,4
"Could be better, not very durable.",Sports Equipment,191.96,2
"Good for the price, meets expectations.",Office Supplies,67.21,2
"Works as expected, decent value.",Toys,39.58,3
"Terrible quality, not worth the price.",Home Appliances,294.58,2
"Excellent product, highly recommend!",Home Appliances,130.16,5
"Satisfied with the purchase, value for money.",Electronics,456.13,2
"Quality is good, but overpriced.",Sports Equipment,382.7,3
"Quality is good, but overpriced.",Sports Equipment,216.33,2
Fantastic! Will buy again.,Home Appliances,471.7,5
"Could be better, not very durable.",Electronics,153.25,5
"Satisfied with the purchase, value for money.",Sports Equipment,249.39,5
"Excellent product, highly recommend!",Home Appliances,452.99,2
"Good for the price, meets expectations.",Office Supplies,227.45,1
"Works as expected, decent value.",Home Appliances,174.73,5
"Satisfied with the purchase, value for money.",Toys,283.01,2
"Quality is good, but overpriced.",Electronics,366.79,5
"Satisfied with the purchase, value for money.",Office Supplies,67.92,1
"Satisfied with the purchase, value for money.",Toys,14.34,2
"Good for the price, meets expectations.",Office Supplies,271.96,4
"Terrible quality, not worth the price.",Toys,123.19,4
"Satisfied with the purchase, value for money.",Toys,201.64,2
"Could be better, not very durable.",Sports Equipment,93.53,1
"Could be better, not very durable.",Toys,90.47,2
"Good for the price, meets expectations.",Electronics,196.73,5
"Amazing features, very useful.",Home Appliances,497.15,3
"Amazing features, very useful.",Sports Equipment,487.83,1
"Works as expected, decent value.",Office Supplies,410.55,5
"Excellent product, highly recommend!",Electronics,399.74,2
"Amazing features, very useful.",Office Supplies,408.84,2
"Excellent product, highly recommend!",Sports Equipment,492.6,4
"Amazing features, very useful.",Toys,177.82,1
"Terrible quality, not worth the price.",Electronics,380.29,5
"Satisfied with the purchase, value for money.",Office Supplies,91.59,4
"Amazing features, very useful.",Office Supplies,347.58,2
"Terrible quality, not worth the price.",Home Appliances,158.68,3
"Quality is good, but overpriced.",Electronics,393.49,4
"Could be better, not very durable.",Sports Equipment,462.74,4
"Excellent product, highly recommend!",Office Supplies,337.82,2
Fantastic! Will buy again.,Home Appliances,214.8,1
"Works as expected, decent value.",Office Supplies,230.62,4
Fantastic! Will buy again.,Office Supplies,330.08,5
"Very disappointed, it broke after one use.",Office Supplies,449.17,1
"Amazing features, very useful.",Sports Equipment,475.32,4
"Amazing features, very useful.",Sports Equipment,376.79,3
"Works as expected, decent value.",Toys,358.14,3
"Satisfied with the purchase, value for money.",Office Supplies,51.66,2
"Good for the price, meets expectations.",Electronics,277.79,5
"Terrible quality, not worth the price.",Home Appliances,76.31,3
"Terrible quality, not worth the price.",Sports Equipment,222.32,2
"Satisfied with the purchase, value for money.",Office Supplies,233.27,1
"Quality is good, but overpriced.",Home Appliances,327.78,4
"Satisfied with the purchase, value for money.",Toys,248.54,1
"Works as expected, decent value.",Home Appliances,57.77,4
"Excellent product, highly recommend!",Home Appliances,272.28,1
"Works as expected, decent value.",Toys,460.9,2
Fantastic! Will buy again.,Sports Equipment,173.19,3
"Very disappointed, it broke after one use.",Office Supplies,356.41,5
"Could be better, not very durable.",Office Supplies,122.66,5
"Works as expected, decent value.",Home Appliances,354.59,4
"Good for the price, meets expectations.",Toys,366.2,3
"Very disappointed, it broke after one use.",Toys,271.18,1
"Works as expected, decent value.",Toys,185.6,5
"Works as expected, decent value.",Office Supplies,458.46,1
"Terrible quality, not worth the price.",Electronics,174.14,4
"Works as expected, decent value.",Toys,394.23,5
"Good for the price, meets expectations.",Electronics,81.82,1
"Terrible quality, not worth the price.",Electronics,313.71,4
"Amazing features, very useful.",Electronics,175.37,4
"Amazing features, very useful.",Office Supplies,151.26,1
"Terrible quality, not worth the price.",Sports Equipment,494.08,3
Fantastic! Will buy again.,Home Appliances,225.54,2
"Terrible quality, not worth the price.",Electronics,232.56,1
"Works as expected, decent value.",Sports Equipment,42.52,4
"Very disappointed, it broke after one use.",Home Appliances,85.9,5
"Satisfied with the purchase, value for money.",Office Supplies,177.76,1
Fantastic! Will buy again.,Home Appliances,288.73,4
"Excellent product, highly recommend!",Toys,403.81,2
"Very disappointed, it broke after one use.",Sports Equipment,291.6,4
Fantastic! Will buy again.,Electronics,211.45,3
"Excellent product, highly recommend!",Electronics,473.53,1
Fantastic! Will buy again.,Sports Equipment,45.76,5
"Good for the price, meets expectations.",Sports Equipment,248.79,2
Fantastic! Will buy again.,Electronics,395.97,5
"Satisfied with the purchase, value for money.",Electronics,118.58,4
"Terrible quality, not worth the price.",Electronics,461.28,2
"Amazing features, very useful.",Sports Equipment,358.24,3
"Works as expected, decent value.",Office Supplies,207.44,3
"Excellent product, highly recommend!",Electronics,425.31,4
Fantastic! Will buy again.,Home Appliances,118.84,1
"Terrible quality, not worth the price.",Electronics,82.2,2
"Very disappointed, it broke after one use.",Office Supplies,251.11,4
"Terrible quality, not worth the price.",Toys,228.05,2
"Satisfied with the purchase, value for money.",Electronics,321.27,1
"Satisfied with the purchase, value for money.",Sports Equipment,369.01,3
"Good for the price, meets expectations.",Home Appliances,272.3,2
"Terrible quality, not worth the price.",Office Supplies,151.07,1
"Very disappointed, it broke after one use.",Toys,344.88,3
"Could be better, not very durable.",Electronics,314.05,5
"Very disappointed, it broke after one use.",Toys,119.63,1
"Amazing features, very useful.",Home Appliances,187.52,5
"Amazing features, very useful.",Electronics,29.1,2
"Works as expected, decent value.",Toys,378.03,1
"Terrible quality, not worth the price.",Home Appliances,227.99,5
"Terrible quality, not worth the price.",Office Supplies,262.64,4
Fantastic! Will buy again.,Electronics,497.07,4
"Quality is good, but overpriced.",Home Appliances,405.35,4
Fantastic! Will buy again.,Home Appliances,357.34,3
"Could be better, not very durable.",Toys,144.32,4
"Quality is good, but overpriced.",Electronics,262.02,4
"Excellent product, highly recommend!",Sports Equipment,324.22,1
"Satisfied with the purchase, value for money.",Toys,452.5,3
"Terrible quality, not worth the price.",Electronics,499.6,5
"Good for the price, meets expectations.",Sports Equipment,424.87,3
Fantastic! Will buy again.,Sports Equipment,164.27,5
"Works as expected, decent value.",Electronics,159.81,3
"Quality is good, but overpriced.",Office Supplies,370.11,4
"Terrible quality, not worth the price.",Toys,443.24,2
"Satisfied with the purchase, value for money.",Toys,421.48,2
"Very disappointed, it broke after one use.",Toys,229.77,2
"Terrible quality, not worth the price.",Sports Equipment,124.5,5
"Very disappointed, it broke after one use.",Home Appliances,248.34,5
"Amazing features, very useful.",Toys,372.02,1
"Very disappointed, it broke after one use.",Sports Equipment,91.86,3
"Amazing features, very useful.",Electronics,324.81,1
"Excellent product, highly recommend!",Office Supplies,398.38,3
"Good for the price, meets expectations.",Home Appliances,420.1,2
"Amazing features, very useful.",Electronics,167.56,1
"Very disappointed, it broke after one use.",Electronics,109.81,5
"Could be better, not very durable.",Home Appliances,443.19,4
"Works as expected, decent value.",Sports Equipment,10.42,2
"Very disappointed, it broke after one use.",Electronics,29.27,1
"Terrible quality, not worth the price.",Home Appliances,362.85,1
Fantastic! Will buy again.,Office Supplies,111.72,2
"Quality is good, but overpriced.",Home Appliances,336.38,3
"Could be better, not very durable.",Toys,260.75,3
"Works as expected, decent value.",Sports Equipment,118.06,1
"Amazing features, very useful.",Electronics,249.31,2
"Satisfied with the purchase, value for money.",Electronics,467.07,3
"Excellent product, highly recommend!",Home Appliances,445.24,4
"Works as expected, decent value.",Home Appliances,69.86,5
"Satisfied with the purchase, value for money.",Office Supplies,151.32,3
"Works as expected, decent value.",Electronics,36.29,4
"Very disappointed, it broke after one use.",Electronics,45.42,5
"Terrible quality, not worth the price.",Home Appliances,76.4,2
"Works as expected, decent value.",Electronics,455.75,4
"Excellent product, highly recommend!",Electronics,169.29,2
"Amazing features, very useful.",Electronics,98.34,2
"Excellent product, highly recommend!",Home Appliances,463.33,4
"Terrible quality, not worth the price.",Electronics,105.83,2
"Could be better, not very durable.",Electronics,71.96,3
"Excellent product, highly recommend!",Electronics,241.32,2
"Amazing features, very useful.",Office Supplies,155.06,5
"Terrible quality, not worth the price.",Electronics,89.47,5
"Excellent product, highly recommend!",Home Appliances,302.21,5
"Satisfied with the purchase, value for money.",Sports Equipment,125.54,5
"Excellent product, highly recommend!",Home Appliances,79.39,3
"Terrible quality, not worth the price.",Sports Equipment,22.25,2
"Quality is good, but overpriced.",Electronics,436.38,4
"Works as expected, decent value.",Home Appliances,13.66,3
"Quality is good, but overpriced.",Sports Equipment,70.6,5
"Terrible quality, not worth the price.",Sports Equipment,324.17,3
"Works as expected, decent value.",Sports Equipment,297.0,1
"Could be better, not very durable.",Sports Equipment,73.24,3
"Good for the price, meets expectations.",Toys,483.3,1
"Excellent product, highly recommend!",Sports Equipment,381.25,1
"Quality is good, but overpriced.",Toys,44.03,2
"Amazing features, very useful.",Sports Equipment,156.69,2
"Could be better, not very durable.",Office Supplies,328.12,4
"Very disappointed, it broke after one use.",Home Appliances,119.49,3
"Excellent product, highly recommend!",Home Appliances,402.9,3
"Terrible quality, not worth the price.",Sports Equipment,425.29,2
Fantastic! Will buy again.,Office Supplies,382.55,5
"Could be better, not very durable.",Electronics,32.97,5
"Terrible quality, not worth the price.",Toys,230.03,2
"Excellent product, highly recommend!",Sports Equipment,401.86,5
"Quality is good, but overpriced.",Home Appliances,209.52,2
"Good for the price, meets expectations.",Office Supplies,428.59,5
"Terrible quality, not worth the price.",Sports Equipment,264.28,2
"Could be better, not very durable.",Home Appliances,108.88,4
